Регион,Период,Срез,Категория,Пол,Значение
Ненецкий АО,2014,по возрасту,18-24,m,93
Ненецкий АО,2014,по возрасту,25-29,m,57
Ненецкий АО,2014,по возрасту,30-49,m,151
Ненецкий АО,2014,по возрасту,50 +,m,34
Ненецкий АО,2014,по возрасту,14-15,f,0
Ненецкий АО,2014,по возрасту,16-17,f,1
Ненецкий АО,2014,по возрасту,18-24,f,7
Ненецкий АО,2014,по возрасту,25-29,f,8
Ненецкий АО,2014,по возрасту,30-49,f,29
Ненецкий АО,2014,по возрасту,50 +,f,4
Ненецкий АО,2014,по образованию,высшее профессиональное,m,35
Ненецкий АО,2014,по образованию,среднее профессиональное,m,82
Ненецкий АО,2014,по образованию,среднее (полное) общее,m,143
Ненецкий АО,2014,по образованию,начальное и основное общее,m,91
Ненецкий АО,2014,по образованию,высшее профессиональное,f,5
Ненецкий АО,2014,по образованию,среднее профессиональное,f,11
Ненецкий АО,2014,по образованию,среднее (полное) общее,f,13
Ненецкий АО,2014,по образованию,начальное и основное общее,f,19
Ненецкий АО,2014,по социальному составу,наемных работников,m,104
Ненецкий АО,2014,по социальному составу,служащих,m,17
Ненецкий АО,2014,по социальному составу,работников сельского хозяйства,m,3
Ненецкий АО,2014,по социальному составу,предпринимателей без образования юридического лица,m,7
Ненецкий АО,2014,по социальному составу,работников органов государственной власти,m,5
Ненецкий АО,2014,по социальному составу,учащихся и студентов,m,35
Ненецкий АО,2014,по социальному составу,лиц без постоянных источников доходов,m,182
Ненецкий АО,2014,по социальному составу,в том числе безработных,m,33
Ненецкий АО,2014,по социальному составу,мигрантов,m,0
Ненецкий АО,2014,по социальному составу,наемных работников,f,12
Ненецкий АО,2014,по социальному составу,служащих,f,2
Ненецкий АО,2014,по социальному составу,работников сельского хозяйства,f,0
Ненецкий АО,2014,по социальному составу,предпринимателей без образования юридического лица,f,0
Ненецкий АО,2014,по социальному составу,работников органов государственной власти,f,0
Ненецкий АО,2014,по социальному составу,учащихся и студентов,f,2
Ненецкий АО,2014,по социальному составу,лиц без постоянных источников доходов,f,27
Ненецкий АО,2014,по социальному составу,в том числе безработных,f,9
Ненецкий АО,2014,по социальному составу,мигрантов,f,0
Ненецкий АО,2014,по принадлежности к гражданству,граждане России,m,356
Ненецкий АО,2014,по принадлежности к гражданству,граждане других государств или лица без гражданства,m,8
Ненецкий АО,2014,по принадлежности к гражданству,граждане России,f,49
Ненецкий АО,2014,по принадлежности к гражданству,граждане других государств или лица без гражданства,f,0
Ненецкий АО,2013,по возрасту,14-15,m,30
Ненецкий АО,2013,по возрасту,16-17,m,21
Ненецкий АО,2013,по возрасту,18-24,m,59
Ненецкий АО,2013,по возрасту,25-29,m,82
Ненецкий АО,2013,по возрасту,30-49,m,156
Ненецкий АО,2013,по возрасту,50 +,m,39
Ненецкий АО,2013,по возрасту,14-15,f,2
Ненецкий АО,2013,по возрасту,16-17,f,3
Ненецкий АО,2013,по возрасту,18-24,f,10
Ненецкий АО,2013,по возрасту,25-29,f,9
Ненецкий АО,2013,по возрасту,30-49,f,41
Ненецкий АО,2013,по возрасту,50 +,f,8
Ненецкий АО,2013,по образованию,высшее профессиональное,m,38
Ненецкий АО,2013,по образованию,среднее профессиональное,m,74
Ненецкий АО,2013,по образованию,среднее (полное) общее,m,163
Ненецкий АО,2013,по образованию,начальное и основное общее,m,93
Ненецкий АО,2013,по образованию,высшее профессиональное,f,15
Ненецкий АО,2013,по образованию,среднее профессиональное,f,15
Ненецкий АО,2013,по образованию,среднее (полное) общее,f,18
Ненецкий АО,2013,по образованию,начальное и основное общее,f,23
Ненецкий АО,2013,по социальному составу,наемных работников,m,104
Ненецкий АО,2013,по социальному составу,служащих,m,16
Ненецкий АО,2013,по социальному составу,работников сельского хозяйства,m,5
Ненецкий АО,2013,по социальному составу,предпринимателей без образования юридического лица,m,6
Ненецкий АО,2013,по социальному составу,работников органов государственной власти,m,1
Ненецкий АО,2013,по социальному составу,учащихся и студентов,m,42
Ненецкий АО,2013,по социальному составу,лиц без постоянных источников доходов,m,200
Ненецкий АО,2013,по социальному составу,в том числе безработных,m,28
Ненецкий АО,2013,по социальному составу,мигрантов,m,0
Ненецкий АО,2013,по социальному составу,наемных работников,f,18
Ненецкий АО,2013,по социальному составу,служащих,f,4
Ненецкий АО,2013,по социальному составу,работников сельского хозяйства,f,0
Ненецкий АО,2013,по социальному составу,предпринимателей без образования юридического лица,f,1
Ненецкий АО,2013,по социальному составу,работников органов государственной власти,f,0
Ненецкий АО,2013,по социальному составу,учащихся и студентов,f,3
Ненецкий АО,2013,по социальному составу,лиц без постоянных источников доходов,f,41
Ненецкий АО,2013,по социальному составу,в том числе безработных,f,15
Ненецкий АО,2013,по социальному составу,мигрантов,f,0
Ненецкий АО,2013,по принадлежности к гражданству,граждане России,m,373
Ненецкий АО,2013,по принадлежности к гражданству,граждане других государств или лица без гражданства,m,14
Ненецкий АО,2013,по принадлежности к гражданству,граждане России,f,72
Ненецкий АО,2013,по принадлежности к гражданству,граждане других государств или лица без гражданства,f,1
Ненецкий АО,2012,по возрасту,14-15,m,22
Ненецкий АО,2012,по возрасту,16-17,m,26
Ненецкий АО,2012,по возрасту,18-24,m,73
Ненецкий АО,2012,по возрасту,25-29,m,70
Ненецкий АО,2012,по возрасту,30-49,m,156
Ненецкий АО,2012,по возрасту,50 +,m,33
Ненецкий АО,2012,по возрасту,14-15,f,4
Ненецкий АО,2012,по возрасту,16-17,f,0
Ненецкий АО,2012,по возрасту,18-24,f,10
Ненецкий АО,2012,по возрасту,25-29,f,7
Ненецкий АО,2012,по возрасту,30-49,f,21
Ненецкий АО,2012,по возрасту,50 +,f,8
Ненецкий АО,2012,по образованию,высшее профессиональное,m,25
Ненецкий АО,2012,по образованию,среднее профессиональное,m,88
Ненецкий АО,2012,по образованию,среднее (полное) общее,m,165
Ненецкий АО,2012,по образованию,начальное и основное общее,m,88
Ненецкий АО,2012,по образованию,высшее профессиональное,f,9
Ненецкий АО,2012,по образованию,среднее профессиональное,f,9
Ненецкий АО,2012,по образованию,среднее (полное) общее,f,19
Ненецкий АО,2012,по образованию,начальное и основное общее,f,11
Ненецкий АО,2012,по социальному составу,наемных работников,m,107
Ненецкий АО,2012,по социальному составу,служащих,m,14
Ненецкий АО,2012,по социальному составу,работников сельского хозяйства,m,5
Ненецкий АО,2012,по социальному составу,предпринимателей без образования юридического лица,m,8
Ненецкий АО,2012,по социальному составу,работников органов государственной власти,m,2
Ненецкий АО,2012,по социальному составу,учащихся и студентов,m,38
Ненецкий АО,2012,по социальному составу,лиц без постоянных источников доходов,m,188
Ненецкий АО,2012,по социальному составу,в том числе безработных,m,12
Ненецкий АО,2012,по социальному составу,мигрантов,m,3
Ненецкий АО,2012,по социальному составу,наемных работников,f,8
Ненецкий АО,2012,по социальному составу,служащих,f,8
Ненецкий АО,2012,по социальному составу,работников сельского хозяйства,f,0
Ненецкий АО,2012,по социальному составу,предпринимателей без образования юридического лица,f,0
Ненецкий АО,2012,по социальному составу,работников органов государственной власти,f,3
Ненецкий АО,2012,по социальному составу,учащихся и студентов,f,5
Ненецкий АО,2012,по социальному составу,лиц без постоянных источников доходов,f,25
Ненецкий АО,2012,по социальному составу,в том числе безработных,f,2
Ненецкий АО,2012,по социальному составу,мигрантов,f,0
Ненецкий АО,2012,по принадлежности к гражданству,граждане России,m,374
Ненецкий АО,2012,по принадлежности к гражданству,граждане других государств или лица без гражданства,m,6
Ненецкий АО,2012,по принадлежности к гражданству,граждане России,f,50
Ненецкий АО,2012,по принадлежности к гражданству,граждане других государств или лица без гражданства,f,0
Ненецкий АО,2011,по возрасту,14-15,m,33
Ненецкий АО,2011,по возрасту,16-17,m,24
Ненецкий АО,2011,по возрасту,18-24,m,123
Ненецкий АО,2011,по возрасту,25-29,m,64
Ненецкий АО,2011,по возрасту,30-49,m,134
Ненецкий АО,2011,по возрасту,50 +,m,21
Ненецкий АО,2011,по возрасту,14-15,f,1
Ненецкий АО,2011,по возрасту,16-17,f,2
Ненецкий АО,2011,по возрасту,18-24,f,14
Ненецкий АО,2011,по возрасту,25-29,f,12
Ненецкий АО,2011,по возрасту,30-49,f,30
Ненецкий АО,2011,по возрасту,50 +,f,7
Ненецкий АО,2011,по образованию,высшее профессиональное,m,27
Ненецкий АО,2011,по образованию,среднее профессиональное,m,68
Ненецкий АО,2011,по образованию,среднее (полное) общее,m,185
Ненецкий АО,2011,по образованию,начальное и основное общее,m,111
Ненецкий АО,2011,по образованию,высшее профессиональное,f,7
Ненецкий АО,2011,по образованию,среднее профессиональное,f,23
Ненецкий АО,2011,по образованию,среднее (полное) общее,f,21
Ненецкий АО,2011,по образованию,начальное и основное общее,f,15
Ненецкий АО,2011,по социальному составу,наемных работников,m,92
Ненецкий АО,2011,по социальному составу,служащих,m,16
Ненецкий АО,2011,по социальному составу,работников сельского хозяйства,m,0
Ненецкий АО,2011,по социальному составу,предпринимателей без образования юридического лица,m,12
Ненецкий АО,2011,по социальному составу,работников органов государственной власти,m,0
Ненецкий АО,2011,по социальному составу,учащихся и студентов,m,44
Ненецкий АО,2011,по социальному составу,лиц без постоянных источников доходов,m,225
Ненецкий АО,2011,по социальному составу,в том числе безработных,m,4
Ненецкий АО,2011,по социальному составу,мигрантов,m,3
Ненецкий АО,2011,по социальному составу,наемных работников,f,20
Ненецкий АО,2011,по социальному составу,служащих,f,6
Ненецкий АО,2011,по социальному составу,работников сельского хозяйства,f,0
Ненецкий АО,2011,по социальному составу,предпринимателей без образования юридического лица,f,0
Ненецкий АО,2011,по социальному составу,работников органов государственной власти,f,1
Ненецкий АО,2011,по социальному составу,учащихся и студентов,f,2
Ненецкий АО,2011,по социальному составу,лиц без постоянных источников доходов,f,31
Ненецкий АО,2011,по социальному составу,в том числе безработных,f,1
Ненецкий АО,2011,по социальному составу,мигрантов,f,1
Ненецкий АО,2011,по принадлежности к гражданству,граждане России,m,388
Ненецкий АО,2011,по принадлежности к гражданству,граждане других государств или лица без гражданства,m,11
Ненецкий АО,2011,по принадлежности к гражданству,граждане России,f,66
Ненецкий АО,2011,по принадлежности к гражданству,граждане других государств или лица без гражданства,f,0
Ненецкий АО,2010,по возрасту,14-15,m,20
Ненецкий АО,2010,по возрасту,16-17,m,39
Ненецкий АО,2010,по возрасту,18-24,m,121
Ненецкий АО,2010,по возрасту,25-29,m,70
Ненецкий АО,2010,по возрасту,30-49,m,166
Ненецкий АО,2010,по возрасту,50 +,m,29
Ненецкий АО,2010,по возрасту,14-15,f,2
Ненецкий АО,2010,по возрасту,16-17,f,7
Ненецкий АО,2010,по возрасту,18-24,f,14
Ненецкий АО,2010,по возрасту,25-29,f,8
Ненецкий АО,2010,по возрасту,30-49,f,31
Ненецкий АО,2010,по возрасту,50 +,f,9
Ненецкий АО,2010,по образованию,высшее профессиональное,m,24
Ненецкий АО,2010,по образованию,среднее профессиональное,m,91
Ненецкий АО,2010,по образованию,среднее (полное) общее,m,197
Ненецкий АО,2010,по образованию,начальное и основное общее,m,126
Ненецкий АО,2010,по образованию,высшее профессиональное,f,7
Ненецкий АО,2010,по образованию,среднее профессиональное,f,20
Ненецкий АО,2010,по образованию,среднее (полное) общее,f,20
Ненецкий АО,2010,по образованию,начальное и основное общее,f,21
Ненецкий АО,2010,по социальному составу,наемных работников,m,103
Ненецкий АО,2010,по социальному составу,служащих,m,22
Ненецкий АО,2010,по социальному составу,работников сельского хозяйства,m,0
Ненецкий АО,2010,по социальному составу,предпринимателей без образования юридического лица,m,1
Ненецкий АО,2010,по социальному составу,работников органов государственной власти,m,10
Ненецкий АО,2010,по социальному составу,учащихся и студентов,m,36
Ненецкий АО,2010,по социальному составу,лиц без постоянных источников доходов,m,263
Ненецкий АО,2010,по социальному составу,в том числе безработных,m,9
Ненецкий АО,2010,по социальному составу,мигрантов,m,2
Ненецкий АО,2010,по социальному составу,наемных работников,f,16
Ненецкий АО,2010,по социальному составу,служащих,f,5
Ненецкий АО,2010,по социальному составу,работников сельского хозяйства,f,0
Ненецкий АО,2010,по социальному составу,предпринимателей без образования юридического лица,f,0
Ненецкий АО,2010,по социальному составу,работников органов государственной власти,f,0
Ненецкий АО,2010,по социальному составу,учащихся и студентов,f,4
Ненецкий АО,2010,по социальному составу,лиц без постоянных источников доходов,f,39
Ненецкий АО,2010,по социальному составу,в том числе безработных,f,1
Ненецкий АО,2010,по социальному составу,мигрантов,f,0
Ненецкий АО,2010,по принадлежности к гражданству,граждане России,m,440
Ненецкий АО,2010,по принадлежности к гражданству,граждане других государств или лица без гражданства,m,5
Ненецкий АО,2010,по принадлежности к гражданству,граждане России,f,71
Ненецкий АО,2010,по принадлежности к гражданству,граждане других государств или лица без гражданства,f,0
Ханты-Мансийский АО,2014,по возрасту,14-15,m,143
Ханты-Мансийский АО,2014,по возрасту,16-17,m,332
Ханты-Мансийский АО,2014,по возрасту,18-24,m,2139
Ханты-Мансийский АО,2014,по возрасту,25-29,m,2155
Ханты-Мансийский АО,2014,по возрасту,30-49,m,4429
Ханты-Мансийский АО,2014,по возрасту,50 +,m,827
Ханты-Мансийский АО,2014,по возрасту,14-15,f,24
Ханты-Мансийский АО,2014,по возрасту,16-17,f,49
Ханты-Мансийский АО,2014,по возрасту,18-24,f,283
Ханты-Мансийский АО,2014,по возрасту,25-29,f,320
Ханты-Мансийский АО,2014,по возрасту,30-49,f,858
Ханты-Мансийский АО,2014,по возрасту,50 +,f,215
Ханты-Мансийский АО,2014,по образованию,высшее профессиональное,m,830
Ханты-Мансийский АО,2014,по образованию,среднее профессиональное,m,2590
Ханты-Мансийский АО,2014,по образованию,среднее (полное) общее,m,1868
Ханты-Мансийский АО,2014,по образованию,начальное и основное общее,m,4583
Ханты-Мансийский АО,2014,по образованию,высшее профессиональное,f,220
Ханты-Мансийский АО,2014,по образованию,среднее профессиональное,f,459
Ханты-Мансийский АО,2014,по образованию,среднее (полное) общее,f,265
Ханты-Мансийский АО,2014,по образованию,начальное и основное общее,f,784
Ханты-Мансийский АО,2014,по социальному составу,наемных работников,m,3252
Ханты-Мансийский АО,2014,по социальному составу,служащих,m,272
Ханты-Мансийский АО,2014,по социальному составу,работников сельского хозяйства,m,7
Ханты-Мансийский АО,2014,по социальному составу,предпринимателей без образования юридического лица,m,182
Ханты-Мансийский АО,2014,по социальному составу,работников органов государственной власти,m,12
Ханты-Мансийский АО,2014,по социальному составу,учащихся и студентов,m,472
Ханты-Мансийский АО,2014,по социальному составу,лиц без постоянных источников доходов,m,5563
Ханты-Мансийский АО,2014,по социальному составу,в том числе безработных,m,142
Ханты-Мансийский АО,2014,по социальному составу,мигрантов,m,27
Ханты-Мансийский АО,2014,по социальному составу,наемных работников,f,454
Ханты-Мансийский АО,2014,по социальному составу,служащих,f,88
Ханты-Мансийский АО,2014,по социальному составу,работников сельского хозяйства,f,0
Ханты-Мансийский АО,2014,по социальному составу,предпринимателей без образования юридического лица,f,25
Ханты-Мансийский АО,2014,по социальному составу,работников органов государственной власти,f,1
Ханты-Мансийский АО,2014,по социальному составу,учащихся и студентов,f,80
Ханты-Мансийский АО,2014,по социальному составу,лиц без постоянных источников доходов,f,993
Ханты-Мансийский АО,2014,по социальному составу,в том числе безработных,f,29
Ханты-Мансийский АО,2014,по социальному составу,мигрантов,f,4
Ханты-Мансийский АО,2014,по принадлежности к гражданству,граждане России,m,9520
Ханты-Мансийский АО,2014,по принадлежности к гражданству,граждане других государств или лица без гражданства,m,505
Ханты-Мансийский АО,2014,по принадлежности к гражданству,граждане России,f,1698
Ханты-Мансийский АО,2014,по принадлежности к гражданству,граждане других государств или лица без гражданства,f,51
Ханты-Мансийский АО,2013,по возрасту,14-15,m,238
Ханты-Мансийский АО,2013,по возрасту,16-17,m,459
Ханты-Мансийский АО,2013,по возрасту,18-24,m,2456
Ханты-Мансийский АО,2013,по возрасту,25-29,m,2327
Ханты-Мансийский АО,2013,по возрасту,30-49,m,4373
Ханты-Мансийский АО,2013,по возрасту,50 +,m,710
Ханты-Мансийский АО,2013,по возрасту,14-15,f,47
Ханты-Мансийский АО,2013,по возрасту,16-17,f,57
Ханты-Мансийский АО,2013,по возрасту,18-24,f,306
Ханты-Мансийский АО,2013,по возрасту,25-29,f,343
Ханты-Мансийский АО,2013,по возрасту,30-49,f,842
Ханты-Мансийский АО,2013,по возрасту,50 +,f,151
Ханты-Мансийский АО,2013,по образованию,высшее профессиональное,m,770
Ханты-Мансийский АО,2013,по образованию,среднее профессиональное,m,2587
Ханты-Мансийский АО,2013,по образованию,среднее (полное) общее,m,2131
Ханты-Мансийский АО,2013,по образованию,начальное и основное общее,m,4922
Ханты-Мансийский АО,2013,по образованию,высшее профессиональное,f,241
Ханты-Мансийский АО,2013,по образованию,среднее профессиональное,f,420
Ханты-Мансийский АО,2013,по образованию,среднее (полное) общее,f,264
Ханты-Мансийский АО,2013,по образованию,начальное и основное общее,f,797
Ханты-Мансийский АО,2013,по социальному составу,наемных работников,m,3391
Ханты-Мансийский АО,2013,по социальному составу,служащих,m,258
Ханты-Мансийский АО,2013,по социальному составу,работников сельского хозяйства,m,4
Ханты-Мансийский АО,2013,по социальному составу,предпринимателей без образования юридического лица,m,185
Ханты-Мансийский АО,2013,по социальному составу,работников органов государственной власти,m,13
Ханты-Мансийский АО,2013,по социальному составу,учащихся и студентов,m,797
Ханты-Мансийский АО,2013,по социальному составу,лиц без постоянных источников доходов,m,5629
Ханты-Мансийский АО,2013,по социальному составу,в том числе безработных,m,131
Ханты-Мансийский АО,2013,по социальному составу,мигрантов,m,45
Ханты-Мансийский АО,2013,по социальному составу,наемных работников,f,506
Ханты-Мансийский АО,2013,по социальному составу,служащих,f,118
Ханты-Мансийский АО,2013,по социальному составу,работников сельского хозяйства,f,0
Ханты-Мансийский АО,2013,по социальному составу,предпринимателей без образования юридического лица,f,27
Ханты-Мансийский АО,2013,по социальному составу,работников органов государственной власти,f,1
Ханты-Мансийский АО,2013,по социальному составу,учащихся и студентов,f,113
Ханты-Мансийский АО,2013,по социальному составу,лиц без постоянных источников доходов,f,902
Ханты-Мансийский АО,2013,по социальному составу,в том числе безработных,f,18
Ханты-Мансийский АО,2013,по социальному составу,мигрантов,f,1
Ханты-Мансийский АО,2013,по принадлежности к гражданству,граждане России,m,9949
Ханты-Мансийский АО,2013,по принадлежности к гражданству,граждане других государств или лица без гражданства,m,614
Ханты-Мансийский АО,2013,по принадлежности к гражданству,граждане России,f,1686
Ханты-Мансийский АО,2013,по принадлежности к гражданству,граждане других государств или лица без гражданства,f,60
Ханты-Мансийский АО,2012,по возрасту,14-15,m,236
Ханты-Мансийский АО,2012,по возрасту,16-17,m,486
Ханты-Мансийский АО,2012,по возрасту,18-24,m,2449
Ханты-Мансийский АО,2012,по возрасту,25-29,m,2170
Ханты-Мансийский АО,2012,по возрасту,30-49,m,4093
Ханты-Мансийский АО,2012,по возрасту,50 +,m,640
Ханты-Мансийский АО,2012,по возрасту,14-15,f,46
Ханты-Мансийский АО,2012,по возрасту,16-17,f,64
Ханты-Мансийский АО,2012,по возрасту,18-24,f,336
Ханты-Мансийский АО,2012,по возрасту,25-29,f,377
Ханты-Мансийский АО,2012,по возрасту,30-49,f,920
Ханты-Мансийский АО,2012,по возрасту,50 +,f,152
Ханты-Мансийский АО,2012,по образованию,высшее профессиональное,m,702
Ханты-Мансийский АО,2012,по образованию,среднее профессиональное,m,2345
Ханты-Мансийский АО,2012,по образованию,среднее (полное) общее,m,2199
Ханты-Мансийский АО,2012,по образованию,начальное и основное общее,m,4667
Ханты-Мансийский АО,2012,по образованию,высшее профессиональное,f,224
Ханты-Мансийский АО,2012,по образованию,среднее профессиональное,f,482
Ханты-Мансийский АО,2012,по образованию,среднее (полное) общее,f,331
Ханты-Мансийский АО,2012,по образованию,начальное и основное общее,f,837
Ханты-Мансийский АО,2012,по социальному составу,наемных работников,m,3063
Ханты-Мансийский АО,2012,по социальному составу,служащих,m,347
